NAME,GEO_ID,COMM,COMM_LABEL,VAL,TON,us
United States,0100000US,38,Precision instruments and apparatus,2612,32,1
United States,0100000US,38,Precision instruments and apparatus,21772,1299,1
United States,0100000US,381,"Optical elements, instruments, and apparatus (excludes photographic and cinematographic)",0,0,1
United States,0100000US,381,"Optical elements, instruments, and apparatus (excludes photographic and cinematographic)",0,0,1
United States,0100000US,382,Photographic and photocopying machines,0,0,1
United States,0100000US,382,Photographic and photocopying machines,0,0,1
United States,0100000US,383,"Surveying, hydrographic, oceanographic, hydrological, meteorological, and geophysical instruments and appliances",0,0,1
United States,0100000US,383,"Surveying, hydrographic, oceanographic, hydrological, meteorological, and geophysical instruments and appliances",42,0,1
United States,0100000US,384,"Instruments, apparatus, and appliances for medical, surgical, dental, veterinary, or similar purposes",0,0,1
United States,0100000US,384,"Instruments, apparatus, and appliances for medical, surgical, dental, veterinary, or similar purposes",11755,0,1
United States,0100000US,385,Meters and other instruments and apparatus for measuring or process control,1506,20,1
United States,0100000US,385,Meters and other instruments and apparatus for measuring or process control,1729,24,1
United States,0100000US,39,"Furniture, mattresses and mattress supports, lamps, lighting fittings, and illuminated signs",0,0,1
United States,0100000US,39,"Furniture, mattresses and mattress supports, lamps, lighting fittings, and illuminated signs",0,0,1
United States,0100000US,390,"Furniture, mattresses and mattress supports, lamps, lighting fittings, and illuminated signs",0,0,1
United States,0100000US,390,"Furniture, mattresses and mattress supports, lamps, lighting fittings, and illuminated signs",0,0,1
United States,0100000US,40,Miscellaneous manufactured products,1402,173,1
United States,0100000US,40,Miscellaneous manufactured products,212,0,1
United States,0100000US,401,Arms and ammunition,0,0,1
United States,0100000US,401,Arms and ammunition,0,0,1
United States,0100000US,402,"Toys, games, and sporting equipment",205,10,1
United States,0100000US,402,"Toys, games, and sporting equipment",0,0,1
United States,0100000US,409,Miscellaneous manufactured products,1187,163,1
United States,0100000US,409,Miscellaneous manufactured products,183,0,1
United States,0100000US,41,Waste and scrap,0,0,1
United States,0100000US,411,Metallic waste and scrap,0,0,1
United States,0100000US,412,Non-metallic waste and scrap (excludes food processing),0,0,1
United States,0100000US,43,Mixed freight,570883,196911,1
United States,0100000US,43,Mixed freight,850306,219492,1
United States,0100000US,439,Mixed freight,570883,196911,1
United States,0100000US,439,Mixed freight,850306,219492,1
